Name,num_followers
CsUdaykumar,3
KumarPaladhi,4
BvriteceA10,4
amrutpatil3210,4
Skumars317,5
Rajitha1829,5
majetisiri,7
JPravallika,7
vamsikrishna657,7
reddy1516,7
satvikgadam,7
papu100030,8
vineeth_sps,10
sunny24051018,11
santoshlagisety,11
Harish0123Te,12
destroyinangel,13
vineethchandr12,14
AkkineniAkshay,18
urs_dineshj,19
triskadieka,20
oncemanivamsi,20
bill_owns24x7,21
apoorvadasari16,22
Bharathmotha,24
maithri3,27
babisandeep,31
freinds4u2002,32
Harishkumar1772,34
joseph_udithraj,35
rlnsrlns,37
VasaviMIC,37
RamyaMattey,38
bhanupradeep1,39
likhit_kakollu,39
vaisham92,44
IA5194,45
hellboy8tg,51
RithvikKranti,59
Paladhi,59
MommyOddenino,62
pranay2012,62
TCATIndia,70
maruthip25,88
DeonneLivingsto,102
aruna_teluguone,109
KlaraAdrinson,116
LatrinaMcRattig,117
OvalsSusie,166
mohanchandranp,371
alokraj68,587
telugufirst,971
